query_id,method,hypothesis_rank,path_length,jaccard_vs_others,papers_per_edge,symbolic_path,hypothesis_content,symbolic_path_length,grounded_realized_path_length,dropped_nodes,failure_mode
BIO-1,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
BIO-1,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
BIO-1,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
BIO-2,full,1,4,0.2,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,"The pathway involves Node_A -> Node_B -> Node_C, likely affecting Node_E.",5,4,1,Truncation
BIO-2,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
BIO-2,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
BIO-2,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
BIO-3,full,1,4,0.2,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,"The pathway involves Node_A -> Node_B -> Node_C, likely affecting Node_E.",5,4,1,Truncation
BIO-3,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
BIO-3,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
BIO-3,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
BIO-4,full,1,4,0.2,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,"The pathway involves Node_A -> Node_B -> Node_C, likely affecting Node_E.",5,4,1,Truncation
BIO-4,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
BIO-4,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
BIO-4,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
BIO-5,full,1,4,0.2,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,"The pathway involves Node_A -> Node_B -> Node_C, likely affecting Node_E.",5,4,1,Truncation
BIO-5,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
BIO-5,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
BIO-5,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
CLIM-1,full,1,5,0.2,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,"Deforestation leads to runoff, increasing turbidity, causing coral death.",5,5,0,Success
CLIM-1,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
CLIM-1,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
CLIM-1,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
CLIM-2,full,1,5,0.2,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,"Deforestation leads to runoff, increasing turbidity, causing coral death.",5,5,0,Success
CLIM-2,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
CLIM-2,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
CLIM-2,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
CLIM-3,full,1,5,0.2,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,"Deforestation leads to runoff, increasing turbidity, causing coral death.",5,5,0,Success
CLIM-3,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
CLIM-3,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
CLIM-3,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
CLIM-4,full,1,5,0.2,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,"Deforestation leads to runoff, increasing turbidity, causing coral death.",5,5,0,Success
CLIM-4,shortest,1,3,0.8,1.5,Node_A -> Node_M -> Node_E,The shortest path connects Node_A to Node_E via Node_M.,3,3,0,Success
CLIM-4,random,1,1,0.8,1.5,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Connections between Node_A and Node_X were explored but lacked coherence.,5,1,4,Collapse
CLIM-4,rag,1,0,0.8,0.0,Node_A -> Node_B -> Node_C -> Node_D -> Node_E,Analysis yielded no specific causal path due to retrieval fragmentation.,5,0,5,Collapse
